role,company_name,hiring_badge,location,duration,stipend_perMonth
Digital Marketing,Congruence Holdings Private Limited,Not hiring,Chennai,3 Months," 5,000-8,000 "
Business Development (Sales),MoolyaED Private Limited,Not hiring,Bangalore,3 Months," 15,000 "
Recruitment,Creencia Technologies Private Limited,Not hiring,Bangalore,3 Months," 10,000 "
International Business Development,KJ GLOBAL FOODS(KJ EXICCON),Not hiring,Indore                                                            (Hybrid),2 Months," 4,000 "
Video Editing/Making,Her Healthcare,Not hiring,Work from home,3 Months," 8,000 "
Marketing,Voxomos,Not hiring,Noida                                                            (Hybrid),2 Months," 13,000-15,000 "
Business Development (Sales),VKAPS IT Solution Private Limited,Not hiring,Indore,3 Months," 2,000 "
Sales Consultant,System Aircon,Not hiring,"Delhi, Sonepat                                                            (Hybrid)",3 Months," 12,000-12,001 "
Business Consultant,The OmniJobs,Not hiring,Work from home,2 Months," 5,000  +  Incentives"
Human Resources (HR),Amba Laminates Private Limited,Not hiring,Noida,6 Months," 12,000 "
Recruitment Consultant,Creencia Technologies Private Limited,Not hiring,Bangalore,3 Months," 10,000 "
Business Associate,Popo Ventures,Not hiring,Bangalore,6 Months," 10,000 "
Full Stack Development,NOEL Coder's Academy,Not hiring,Noida,3 Months," 5,000 "
Immigration Sales Consultant,VJC Overseas,Not hiring,Bangalore,3 Months," 10,000-15,000 "
Videography,Kuvera,Not hiring,Bangalore,6 Months," 10,000 "
Digital Marketing,Ideastack Solutions Private Limited,Not hiring,Mumbai,6 Months," 7,000 "
Video Editing/Making,RAKSHITHA RAVI,Not hiring,Bangalore                                                            (Hybrid),2 Months," 6,000 "
Human Resources (HR),Life Science Education Trust (LSeT),Not hiring,Work from home,6 Months," 2,000 "
Quality Analyst,Socommerz Technologies Private Limited,Not hiring,Gurgaon,6 Months," 10,000 "
Human Resources (HR),Simtrak,Not hiring,Work from home,6 Months," 2,000 "
Business Management And Administration,Kraft Education,Not hiring,Mumbai,6 Months," 8,000-10,000 "
Digital Marketing,UREV PRIVATE LIMITED,Not hiring,Pune,6 Months," 3,000-7,000 "
Social Media Marketing,Cafeteria Food Brands,Not hiring,Mumbai                                                            (Hybrid),3 Months," 10,000 "
Finance,Smartifai,Not hiring,Bangalore                                                            (Hybrid),3 Months," 15,000 "
Operations,Analystt.ai,Actively hiring,Work from home,3 Months," 3,000 "
Android App Development,Janitri Innovations Private Limited,Actively hiring,Bangalore,6 Months," 15,000 "
Human Resources (HR),Jet Digital Infotech,Not hiring,Work from home,3 Months," 1,000 "
Digital Marketing,Aromatree,Not hiring,Gurgaon,3 Months," 10,000 "
Content Writing,TVL Media,Not hiring,Noida,6 Months," 10,000 "
Full Stack Development,The Learn Cloud,Actively hiring,Work from home,6 Months," 5,000 "
HR Associate,Novaders LLP,Not hiring,Bangalore,2 Months," 10,000 "
Marketing,Lunacal,Actively hiring,Work from home,2 Months," 13,000-20,000 "
Software Testing,The Learn Cloud,Actively hiring,Work from home,6 Months," 6,000 "
Social Media Marketing,Shen Pandi,Actively hiring,Work from home,3 Months," 10,000 "
Digital Marketing,Eduminatti,Actively hiring,Work from home,2 Months," 8,000 "
Content Writing,Silversky Builders,Not hiring,Work from home,6 Months," 5,000 "
Lead Generation,Resolute AI Software Private Limited,Actively hiring,Work from home,3 Months," 10,000 "
Dietetics/Nutrition,InfocusRx Marketing And Communications Private Limited,Not hiring,Hyderabad,6 Months," 10,000-15,000 "
Sales,Sunbliss Solar And Consultancy,Not hiring,Pune,6 Months," 5,000-7,000 "
Content Writing,10xTimes,Not hiring,Work from home,6 Months," 4,000  +  Incentives"
Business Development (Sales),GLINT INDIA TECHNOLOGIES PRIVATE LIMITED,Not hiring,Delhi,3 Months," 20,000 "
Digital Marketing,COM CARE ENTERPRISES,Not hiring,Work from home,2 Months," 3,000 "
Operations,Eduminatti,Actively hiring,Work from home,2 Months," 12,000 "
Human Resources (HR),Eduminatti,Actively hiring,Work from home,2 Months," 12,000 "
Content Writing,Eduminatti,Actively hiring,Work from home,2 Months," 12,000 "
UI/UX Design,Eduminatti,Actively hiring,Work from home,2 Months," 10,000 "
Graphic Design,Eduminatti,Actively hiring,Work from home,2 Months," 8,000 "
Video Editing/Making,Eduminatti,Actively hiring,Work from home,2 Months," 12,000 "
Social Media Marketing,Eduminatti,Actively hiring,Work from home,2 Months," 10,000 "
Web Development,Eduminatti,Actively hiring,Work from home,2 Months," 12,000 "
Content Writing,Astro Pathshala,Not hiring,Gurgaon,2 Months," 10,000 "
Graphic Design,Md Ehtesham,Not hiring,Work from home,3 Months," 5,000 "
Fundraising,STANDARD SUNRISE FOUNDATION,Not hiring,Delhi,3 Months," 5,000-10,000 "
Business Development (Sales),She Can Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
Frontend Developer,C4Scale,Not hiring,Chennai                                                            (Hybrid),3 Months," 4,000-5,000 "
Operations,Innovooks Learning Solution,Not hiring,Work from home,3 Months," 5,000 "
Content Writing,Vereigen Media,Not hiring,Pune                                                            (Hybrid),6 Months," 5,000-10,000 "
Data Entry,Groweon Digital Pvt Ltd,Not hiring,Bangalore,3 Months," 12,000 "
"Backend Development - Rust, Actix, Web Sockets, Postgresql",Mobiclay Technology (OPC) Pvt. Ltd.,Not hiring,Work from home,6 Months," 12,000-15,000 "
Social Media Marketing,ScaleSauce,Not hiring,Mumbai,3 Months," 10,000-12,500 "
Junior Interior Designer,RS HOMES,Not hiring,"Delhi, Pitampura",6 Months," 10,000  +  Incentives"
Frontend Web Developer,Marwari Catalysts,Actively hiring,Work from home,2 Months," 2,000-5,000 "
Graphic Design,EVOLUTION OVERSEAS PRIVATE LIMITED,Not hiring,Delhi,3 Months," 5,000  +  Incentives"
Content Writing,Law Digest By Ayushi,Not hiring,Work from home,3 Months," 2,500 "
Digital Marketing,Elan Digital,Not hiring,Work from home,3 Months," 2,000  +  Incentives"
Social Media Marketing,Sourav Jain,Not hiring,Bangalore                                                            (Hybrid),3 Months," 5,000-10,000 "
Front Desk Executive,Turn A Page,Not hiring,Navi Mumbai,6 Months," 7,000-10,000 "
Legal Research,MednLaw,Not hiring,Delhi,6 Weeks," 12,000 "
DevOps,Bestriptech Solutions Private Limited,Not hiring,Work from home,6 Months," 2,000-6,000 "
Operations,Neelaveni Raghavan,Not hiring,Work from home,3 Months," 5,000 "
Digital Marketing,DigiHardik,Not hiring,Work from home,2 Months," 5,000 "
Digital Marketing,Travel Mixture,Not hiring,Work from home,6 Months," 5,000-15,000 "
React/Node.js Web/UI Developer,Dendrite.ai,Actively hiring,Work from home,6 Months," 5,000-15,000 "
Data Entry,GoQuest Media Ventures Private Limited,Not hiring,Mumbai,2 Months," 10,000 "
Social Media Marketing,Eco Clothing India,Not hiring,Faridabad,3 Months," 5,000 "
Accounting & Taxation,J B Kadge And Co Chartered Accountant,Not hiring,Mumbai                                                            (Hybrid),6 Months," 6,000 "
Digital Marketing,Jhoomri Collection,Not hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Bangalore, Mumbai                                                            (Hybrid)",3 Months," 8,000 "
Tally Accountant,AIR HR Solutions,Actively hiring,Mumbai,6 Months," 8,000 "
Flutter Development,Systemic Altruism,Actively hiring,Work from home,4 Months," 13,000 "
Marketing,HJ International Exim Clearing Agency,Not hiring,Navi Mumbai,6 Months," 10,000  +  Incentives"
Sales,AIR HR Solutions,Actively hiring,Mumbai,6 Months," 8,000 "
Digital Marketing,Niedivine Creations,Not hiring,Mumbai                                                            (Hybrid),4 Months," 7,000 "
Graphic Design,E Learning Solutions,Not hiring,Hyderabad,2 Months," 8,000 "
Social Media Marketing,Congruence Holdings,Not hiring,Chennai,6 Months," 6,000-8,000 "
Field Sales,Bharati Bhawan Publishers And Distributors,Not hiring,Work from home,6 Months," 15,000 "
Game Development,THAT'S AWESOME! STUDIO,Not hiring,Hyderabad                                                            (Hybrid),6 Months," 5,000 "
Management trainee,MUKTI,Not hiring,Kolkata,6 Months," 12,000 "
Data Analytics,Palk Street,Actively hiring,Work from home,6 Months," 2,000 "
Graphic Design,Hcube Wowcarz Private Limited,Not hiring,Bangalore,3 Months," 10,000-15,000 "
Field Sales,Rentclothingo,Not hiring,Ghaziabad,3 Months," 10,000-15,000 "
Data Entry,Domainame,Not hiring,Noida,3 Months," 10,000 "
Event Management,Classique Events,Not hiring,"Delhi, Gurgaon, Greater Noida, Noida",6 Months," 8,000-10,000 "
Telecalling,Entrepot Training Institute Private Limited,Not hiring,Mumbai,3 Months," 10,000-12,000 "
Backend Development,Yosha Foodtech Private Limited,Not hiring,Mumbai,6 Months," 10,000 "
Video Editing/Making,Engaze,Actively hiring,Work from home,3 Months," 5,000  +  Incentives"
Creative Design,Lesgo Global Private Limited,Not hiring,Work from home,2 Months," 5,000 "
Law/Legal,HITYARTHI CLAIM ADVISORY LLP,Not hiring,Mumbai                                                            (Hybrid),6 Months," 5,000  +  Incentives"
Corporate Sales,The OmniJobs,Not hiring,Work from home,2 Months," 5,000  +  Incentives"
Logo & Branding Designer,Creatiwise,Actively hiring,Work from home,6 Months," 15,000-20,000 "
Graphic Design,Creatiwise,Actively hiring,Work from home,6 Months," 15,000-20,000 "
Telecalling,Telesure,Not hiring,Jaipur,3 Months," 8,000  +  Incentives"
Online Hindi Faculty For School Kids.,Vikalp India Private Limited,Actively hiring,Work from home,6 Months," 5,000-8,000 "
Project Management,Fyn Mobility,Not hiring,Bangalore,3 Months," 10,000 "
Full Stack Development,KANRIS Infotech Private Limited,Not hiring,Dombivli,6 Months," 5,000-10,000 "
.NET Development,AdroApex Multi Services,Not hiring,Work from home,2 Months," 2,000 lump sum +  Incentives"
Digital Marketing,Perseverance Enterprise,Not hiring,Work from home,3 Months," 2,000 "
Marketing,The Spark Exhibition,Not hiring,Work from home,3 Months," 2,000  +  Incentives"
Digital Marketing,Space Life Store,Not hiring,Work from home,4 Months," 11,000 "
UI/UX Design,Idea Usher,Actively hiring,Work from home,6 Months," 8,000-12,000 "
Video Editing/Making,The Yellow Strawberry,Not hiring,Navi Mumbai,6 Months," 7,000-10,000 "
Business Development (Sales),Cube Consultancy Services,Not hiring,Work from home,3 Months," 3,000  +  Incentives"
Social Media Marketing,Astrosia,Not hiring,Work from home,3 Months," 1,000  +  Incentives"
E-Commerce Management,OPTIMUS SELLERS,Not hiring,Coimbatore,3 Months," 8,000 "
Senior Graphic Design,Digital Ipsum,Actively hiring,Work from home,6 Months," 25,000 "
Advertising Poster,Dhruvaashi Software & Technology (OPC) Private Limited,Actively hiring,Work from home,1 Month," 3,000 "
Search Engine Optimization (SEO),Tripocio Carnival Pvt Ltd,Not hiring,Indore,3 Months," 3,000 "
Creative Design,Insure Pro 2.0,Not hiring,Work from home,3 Months," 10,000 "
Social Media Marketing,WinX Services,Not hiring,Work from home,6 Months," 1,000  +  Incentives"
Social Media Marketing,Sole Weavers,Not hiring,"Thane, Mumbai",3 Months," 10,000 "
Content Writing,Sumcircle Technologies Private Limited,Not hiring,Mumbai,6 Months," 3,000 "
Social Media Marketing,Tulot Tech Labs,Not hiring,Work from home,3 Months," 6,000-8,000 "
Digital Marketing,RenB Digital,Not hiring,Work from home,3 Months," 5,000 "
Business Development (Sales),All India Media Solutions,Not hiring,Gurgaon,6 Months," 10,000 "
Digital Marketing,Keycept,Not hiring,Mumbai,6 Months," 8,000-12,000 "
Cyber Security Compliance Associate,Securis360,Not hiring,Ahmedabad,3 Months," 4,000-8,000 "
E-Commerce Marketing,Idam Natural Wellness Private Limited,Not hiring,Gurgaon,3 Months," 15,000 "
Sales,Indian Cyber Security Solutions,Not hiring,"Kolkata, Bangalore                                                            (Hybrid)",3 Months," 5,000 "
Business Growth,Skooltag,Not hiring,Delhi,3 Months," 10,000 "
Business Development (Sales),The Wise Idiot,Not hiring,Mumbai                                                            (Hybrid),2 Months," 5,000-8,000 "
Product Marketing,Wayspire Edtech Private Limited,Actively hiring,Work from home,1 Month," 1,500-5,000 "
Business Development (Sales),Accountant Bazaar,Not hiring,"Thane, Mumbai                                                            (Hybrid)",6 Months," 10,000  +  Incentives"
Customer Service/Customer Support,Giggling Gifts,Not hiring,Work from home,6 Months," 2,000 "
Content Writer,AstaGuru Auction House Private Limited,Not hiring,Mumbai,3 Months," 10,000 "
Social Media Manager,Unhooked,Not hiring,Work from home,3 Months," 1,000 "
Assistant,Arpit Jain,Not hiring,Kolkata,2 Months," 5,000 "
Telecalling,InnoThoughts,Not hiring,Pune,6 Months," 7,000 "
Graphic Design,NotInLine Technologies Private Limited,Not hiring,"Bangalore, Mumbai                                                            (Hybrid)",2 Months," 5,000 "
Software Development,Tecknotrove Systems (I) Private Limited,Not hiring,Vapi,6 Months," 15,000 "
QA Testing,Vistaar Digital Communications Private Limited,Not hiring,Mumbai,3 Months," 8,000 "
Graphic Design,Pierret India,Not hiring,Work from home,3 Months," 5,000 "
Backend Development,NocodeAssistant,Not hiring,Work from home,6 Months," 10,000 "
Client Servicing,Knowledge Source Private Limited.,Not hiring,Mumbai,1 Month," 15,000  +  Incentives"
Operations,Couriero,Not hiring,Jaipur,3 Months," 5,000 "
Campus Ambassador,Al-connect,Not hiring,Work from home,2 Months,Performance Based
Business Development (Sales),NextZenAcademy,Not hiring,Work from home,3 Months," 2,000  +  Incentives"
Content Writing,Great Learning,Actively hiring,Work from home,4 Months," 15,000 "
Social Media Marketing,SBBR Technologies Pvt. Ltd.,Not hiring,Noida,6 Months," 7,000 "
Search Engine Optimization (SEO),Pem Tshering Sherpa,Not hiring,Work from home,6 Months, 500 /week +  Incentives
Video Editing/Making,Ananta Chhajer,Not hiring,Work from home,1 Month," 1,000  +  Incentives"
Telecalling (Calling For E-commerce Orders Confirmation),Shyam Sac,Actively hiring,Work from home,6 Months," 5,500 "
Business Development (Sales),Kartik Arora,Not hiring,Work from home,2 Months," 1,500 "
Digital Marketing,PULSECRAFTS SOLUTIONS PRIVATE LIMITED,Not hiring,Work from home,3 Months," 3,000 "
Full Stack Development,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Social Media Marketing,Digital Ipsum,Actively hiring,Work from home,6 Months," 10,000 "
Creative Writing,Digital Ipsum,Actively hiring,Work from home,6 Months," 10,000 "
Search Engine Optimization (SEO),Vikas Kumar,Not hiring,Faridabad                                                            (Hybrid),3 Months," 3,000-5,000 "
Mobile App Development,Start10x,Not hiring,Gurgaon,2 Months," 15,000 "
Video Editing/Making,Pankaj Verma,Not hiring,Work from home,1 Month," 2,000 "
Business Development (Sales),Perfect Architecture And Design Studio,Not hiring,"Ballari, Koppal, Raichur, Chitradurga, Kolar, Mandya, Yadgir, Udupi, Shivamogga, Gulbarga, Ramanagar, Chikmagalur, Bidar",2 Months," 15,000  +  Incentives"
Human Resources (HR),Digital Ipsum,Actively hiring,Work from home,6 Months," 10,000 "
Content Writing,SurePass Technologies Private Limited,Not hiring,Delhi,6 Months," 10,000 "
Business Development (Sales),Crossroads Helpline,Not hiring,Work from home,3 Months," 5,000 "
Field Sales,Pooja Srinivas,Not hiring,Bangalore                                                            (Hybrid),3 Months," 12,000  +  Incentives"
SQL DEVELOPER,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Python Development,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Social Media Marketing,Aagam Digitals,Not hiring,Pune,6 Months," 3,000-7,000 "
Business Development (Sales),Safia Dawoos,Not hiring,Bangalore,4 Weeks," 5,000  +  Incentives"
Social Media Marketing,Raed India,Not hiring,Work from home,1 Month,Unpaid
Product Marketing,"Lotus AI (Los Angeles, United States)",Actively hiring,Work from home,3 Months," 10,000-1,00,000 "
Python/Django Developer,AppVersal,Actively hiring,Noida,3 Months," 10,000 "
MS Excel Expert,Flying Pigeon Solutions,Actively hiring,Work from home,2 Months," 3,000-6,000 "
Video Editor (YouTube Long-Videos),Candidscape,Not hiring,Work from home,3 Months," 4,000 "
Software Testing,Peoplebox,Actively hiring,Bangalore,3 Months," 15,000 "
Content Writer,AntWalk,Actively hiring,Work from home,6 Months," 10,000-15,000 "
Subject Matter Expert (Biology),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 "
Machine Learning,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Business Development (Sales),91Squarefeet,Not hiring,Gurgaon,3 Months," 20,000 "
Digital Marketing,Upavana Gardens Private Limited,Not hiring,Work from home,3 Months," 2,000-5,000 "
Cyber Security,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Java Development,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Digital Marketing,SmartHire,Not hiring,Work from home,2 Months," 3,000  +  Incentives"
Social Media Marketing,Ministitch,Not hiring,Mumbai                                                            (Hybrid),3 Months," 10,000-15,000 "
Asp.net Development,HappSales Private Limited,Not hiring,Work from home,3 Months," 9,000-15,000 "
Project Management,SkillCase,Not hiring,Bangalore,3 Months," 7,000-10,000 "
Market Research,Ingenious ConTech Solutions Private Limited,Not hiring,Work from home,1 Month," 1,000 /week +  Incentives"
Chartered Accountancy (CA),Teena Jain,Not hiring,Mumbai,6 Months," 4,000 "
Business to Consumer,Acies Consulting LLP,Not hiring,Panaji,6 Months," 20,000 "
Graphic Design,Darzata,Not hiring,Work from home,1 Month," 1,500  +  Incentives"
Executive Assistant (Virtual),Woro Media,Not hiring,Work from home,6 Months," 4,000 "
UI/UX Design,Austrax Technologies India Pvt Ltd,Not hiring,Pune,6 Months," 12,000 "
Data Science,Textraja,Actively hiring,Work from home,2 Months," 6,000 "
Data Science,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
Front End Development,CodeInterns,Actively hiring,Work from home,1 Month," 1,000 "
E-Commerce Marketing,Worxstax Solutions Private Limited,Not hiring,Bangalore,6 Months," 8,000-14,000 "
Project Associate,Techworth Technologies Private Limited,Not hiring,Kolkata                                                            (Hybrid),3 Months," 5,000 "
Business Development (Sales),Outshade Digital Media,Not hiring,"Secunderabad, Hyderabad",2 Months," 10,000 "
Human Resources (HR),Hostnetindia,Not hiring,Jaipur,6 Months," 5,000 "
Digital Marketing,Digics Private Limited,Not hiring,"Ghaziabad, Noida, Delhi, Ramprastha, Vasundhra, Shahadra",6 Months," 8,000 "
Social Media Marketing,Kay Kay Label,Not hiring,Gurgaon                                                            (Hybrid),6 Months," 5,000 "
Accounting & Bookkeeping,First Care Medicos,Not hiring,Delhi,1 Month," 4,000 "
Search Engine Optimization (SEO),Eubrics,Not hiring,Work from home,3 Months," 6,000  +  Incentives"
Human Resources (HR),Syngenta Foundation India,Not hiring,Pune,6 Months," 18,000-20,000 "
Data Entry,Immabeme Solutions Private Limited,Not hiring,Noida,6 Months," 5,000 "
Accounting & Bookkeeping,SHREEJI AND ASSOCIATES,Not hiring,Delhi                                                            (Hybrid),6 Months," 5,000  +  Incentives"
1 Week Fundraising,She Can Foundation,Actively hiring,Work from home,1 Week,20% of Total Amount Raised
Social Entrepreneurship,She Can Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
Business Development (Sales),Eduminatti,Actively hiring,"Dehradun, Haridwar",2 Months," 8,000 "
Marketing,BROTHERS SERVICES,Not hiring,"Aurangabad, Bhilai, Dhanbad, Jabalpur, Indore, Pune, Ranchi, Solapur, Bhopal, Mumbai, Raipur, Nagpur, Nashik, Gwalior West                                                            (Hybrid)",6 Months," 12,000  +  Incentives"
Front End Development,Faclon,Actively hiring,Work from home,3 Months," 8,000-12,000 "
Web Development,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 4,000-7,000 "
Recruitment,Prodigy Hunters,Not hiring,Bangalore,3 Months," 3,000 "
Content & E-Commerce Management,V M Jewellery,Not hiring,Mumbai,3 Months," 8,000-10,000 "
Social Media Marketing,Veera Luxury,Not hiring,Mumbai,3 Months," 8,000-10,000 "
Business Development (Sales),Hala Design,Not hiring,Work from home,6 Months," 5,000-15,000 "
CAD Design,Exhilar Innovative Solutions Private Limited,Not hiring,Chennai,2 Months," 10,000 "
Field Sales,Atrity Info Solutions Private Limited,Not hiring,Chennai,6 Months," 10,000 "
Digital Marketing,Coherent Market Insights Private Limited,Not hiring,Pune,3 Months," 5,000 "
Social Media Marketing,Pixxcel,Not hiring,Jaipur,3 Months," 5,000-10,000 "
Finance,Raghu Kumar,Not hiring,Bangalore,3 Months," 10,000 "
Human Resources (HR),Blue Pearl Health Tech Pvt. Ltd.,Not hiring,Pune,6 Months," 8,000 "
Social Media Marketing,House Of Muher,Not hiring,Work from home,6 Months," 2,000 "
Graphic Design,Konark SolarTech Solutions,Not hiring,Pune,6 Months," 7,000 "
Sales,Get Structured Consulting Services OPC Private Limited,Not hiring,Mumbai,6 Months," 25,000-30,000 "
Telecalling,Pro Events Academy,Not hiring,Pune,4 Months," 8,000-12,000 "
Sales,Cultfit Healthcare Private Limited,Actively hiring,Hyderabad,2 Months," 18,000 "
Dot Net Core Developer,Asharp Infotech Private Limited,Not hiring,Delhi                                                            (Hybrid),2 Months," 5,000 "
Video Editing/Making,Sorted Square Coworking Private Limited,Not hiring,Work from home,2 Months," 5,000 "
Search Engine Optimization (SEO),Techcanvass,Actively hiring,Work from home,6 Months," 10,000 "
Video Editing/Making,Nutrabay,Not hiring,Gurgaon,6 Months," 15,000 "
Game Development,MentorBoxx,Actively hiring,"Amritsar, Aurangabad, Chandigarh, Delhi, Ghaziabad, Gurgaon, Patiala, Pune, Mumbai, Pimpri-Chinchwad, Noida, Raipur, Nagpur, Nashik",2 Months," 20,000 "
Process Executive,Quess Corp Limited,Not hiring,Jaipur,6 Months," 9,000 "
Data Entry,MentorBoxx,Actively hiring,Work from home,2 Months," 8,000-12,000 "
Digital Marketing,MentorBoxx,Actively hiring,"Chennai, Coimbatore, Delhi, Gurgaon, Lucknow, Patna, Pune, Ranchi, Bangalore, Hyderabad, Mumbai, Varanasi, Jaipur, Noida, Andhra Tharhi",2 Months," 18,000 "
Business Development (Sales),MentorBoxx,Actively hiring,"Aurangabad, Chennai, Delhi, Indore, Patna, Pune, Ahmednagar, Bangalore, Hyderabad, Bhopal, Mumbai, Noida, Nashik, Gwalior West, Andhra Pradesh",2 Months," 15,000-20,000 "
Human Resources (HR),MentorBoxx,Actively hiring,Work from home,2 Months," 18,000 "
Social Media Marketing,MentorBoxx,Actively hiring,"Faridabad, Delhi, Ghaziabad, Guwahati, Gurgaon, Kolkata, Lucknow, Siliguri, Shimla, Darjeeling, Bangalore, Kochi, Noida, Prayagraj, Sikkim",2 Months," 15,000 "
Marketing,MentorBoxx,Actively hiring,"Aurangabad, Chennai, Guwahati, Indore, Kolkata, Pune, Siliguri, Shimla, Bangalore, Hyderabad, Bhopal, Mumbai, Raipur, Nagpur, Nashik",2 Months," 20,000 "
Data Science,MentorBoxx,Actively hiring,Work from home,1 Month," 18,000 "
Business Analytics,MentorBoxx,Actively hiring,"Ahmedabad, Chandigarh, Chennai, Delhi, Gurgaon, Indore, Kolkata, Pune, Bangalore, Hyderabad, Bhopal, Mumbai, Jaipur, Noida, Bhopalgarh",1 Month," 18,000 "
Graphic Design,MentorBoxx,Actively hiring,"Ahmedabad, Akola, Aurangabad, Pune, Amravati, Ahmednagar, Mumbai, Pimpri-Chinchwad, Baramati, Nagpur, Nashik",2 Months," 15,000 "
Social Media Outreach,HomeAbroad Inc.,Not hiring,Work from home,3 Months," 8,000 "
Photography And Videography,Huddle Media,Not hiring,Mumbai,6 Months," 5,000 "
Hotel Management,Happy Foods Group,Not hiring,Bangalore,5 Months," 8,000 "
Business Development (Sales),ARYCO Properties Private Limited,Not hiring,Hyderabad,3 Months," 8,000 "
Web Development,Praanha,Not hiring,Work from home,3 Months," 5,500-7,500 "
Sales,BINACONF INDIA PVT.LTD,Not hiring,Work from home,4 Months," 10,000 "
Sales And Marketing,Flosil Group Of Companies,Not hiring,Chennai,1 Month," 2,000  +  Incentives"
Documentation,Swasti,Not hiring,"Bangalore, Delhi                                                            (Hybrid)",6 Months," 5,000-10,000 "
Social Media Marketing,Twice The Impact PM,Not hiring,Work from home,6 Months," 2,000-5,000 "
Social Media Marketing,Cannibals Media Pvt. Ltd.,Actively hiring,Work from home,1 Month," 3,000 "
Business Development (Sales),Padma Food Products,Not hiring,Bangalore,3 Months," 8,000 "
Social Media Marketing,Neopulse Energy Private Limited,Actively hiring,Work from home,4 Months," 5,000-10,000 "
Human Resources (HR),Gera Developments Private Limited,Not hiring,Pune,6 Months," 15,000-18,000 "
YouTube Hindi Scriptwriter (Gaming & Entertainment),Brown Collab,Not hiring,Work from home,3 Months," 8,000 "
E-commerce Operations,GOAT Brand Labs,Not hiring,Gurgaon,2 Months," 10,000 "
Reels Creator,Flosil Group Of Companies,Not hiring,Chennai,1 Month," 2,000 "
Graphic Design,The Cover Up Project,Not hiring,Mumbai                                                            (Hybrid),3 Months," 5,000 "
Product Video Creator,Cryptographic Solutions,Not hiring,Work from home,1 Month," 3,000 "
Client Relationship Executive (Marketing),Mentorrbuddy,Not hiring,Bangalore                                                            (Hybrid),6 Months," 8,000 "
Sales,Nikayi Fashion Studio,Not hiring,Mumbai,3 Months," 5,000 "
Social Media Marketing,Kyoto Creative Co.,Not hiring,Work from home,3 Months," 5,000 "
Content Writing,Newsway Private Limited,Not hiring,Work from home,3 Months," 25,000 "
Lead Generation,Srimply,Not hiring,Work from home,3 Months," 10,000 "
Graphic Design,Dezeno,Not hiring,Work from home,2 Months," 5,000 "
Campus Ambassador,Indian Institute Of Art & Design - IIAD,Not hiring,Work from home,6 Months,Performance Based
Social Media Marketing,Corizo Edu-Tech,Not hiring,Work from home,1 Month," 5,000-15,000 "
Business Development (Sales),Concort Growth Services,Not hiring,Work from home,2 Months," 5,000-10,000 "
Fashion Design And Merchandising,House Of Deepthi Limited,Not hiring,Mumbai,3 Months," 4,000-7,000 "
Social Work,InAmigos Foundation,Actively hiring,Work from home,3 Weeks,Unpaid
Video Editing/Making,Fabricodes,Not hiring,Work from home,4 Months," 5,000-10,000 "
Data Entry,Digital Ipsum,Actively hiring,Work from home,3 Months," 4,000 "
Sales,CA-One India,Not hiring,Bangalore,6 Months," 10,000 "
Manufacturing Engineering,OM Bhakti Samagri Kreations Private Limited,Not hiring,Bangalore,3 Months," 7,000 "
Human Resources (HR),FlexiLoans Technologies Private Limited,Not hiring,Mumbai,3 Months," 10,000-13,000 "
Supply Chain & Logistics Operations,Nishesh Enterprises,Not hiring,Noida,2 Months," 2,000-4,000 "
Operations,Bohni Tech Private Limited,Not hiring,Work from home,6 Months," 2,500 "
Architecture,High Rise Architects,Not hiring,Jodhpur,6 Months," 6,000 "
Social Media Marketing,36 SKILLS,Not hiring,Work from home,3 Months," 5,000 "
Recruitment,Talent500,Not hiring,Bangalore,3 Months," 10,000 "
Customer Service/Customer Support,Beeglee,Not hiring,Delhi,3 Months," 7,000-12,000 "
Operations,OnGrid,Not hiring,Gurgaon,3 Months," 10,000-15,000 "
Reactjs Development,FynTune Solution Private Limited,Actively hiring,"Thane, Navi Mumbai",6 Months," 12,000 "
Business Development (Sales),Do It Zero,Not hiring,Work from home,6 Months," 10,000-15,000 "
Influencer Marketing,Recitstudios,Not hiring,Work from home,6 Months," 4,000-5,000 "
Content Manager,High Impact Talent,Not hiring,Work from home,1 Month," 2,000 "
Marketing,Growisto,Not hiring,Mumbai                                                            (Hybrid),3 Months," 9,500 "
Social Media Marketing,Manasi Mhaskar,Not hiring,"Delhi, Mumbai",6 Months," 15,000 "
Partnership And Strategic Alliances,Transhelp Technologies Private Limited,Not hiring,Bangalore,3 Months," 10,000 "
Web Application Developer,Technetwave Private Limited,Actively hiring,Hyderabad                                                            (Hybrid),6 Months," 5,000  +  Incentives"
Flutter Development,Adstacks Media,Actively hiring,Gurgaon,3 Months," 12,000 "
