role,company_name,hiring_badge,location,duration,stipend_perMonth
Event Management,Event University,Actively hiring,Delhi,4 Months," 10,000-12,500 "
Search Engine Optimization (SEO),OutreachMani,Actively hiring,Jaipur,3 Months," 10,000 "
Telecalling,AppVersal,Actively hiring,Noida,3 Months," 10,000 "
Business Development (Sales),EasyInsights,Actively hiring,Delhi,6 Months," 10,000  +  Incentives"
Digital Marketing,OutreachMani,Actively hiring,Jaipur,3 Months," 10,000 "
Inside Sales,Isourse,Actively hiring,Delhi,6 Months," 25,000 "
Youtube SEO Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 6,000-10,000 "
Brand Aquisition,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 "
Business Development,Tripple One Solutions,Actively hiring,Noida,3 Months," 15,000-25,000 "
Human Resources (HR),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Front Office Executive,Sonam  Geda,Actively hiring,Indore,3 Months," 7,000-10,000 "
Performance Marketing,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 8,000-12,000 "
Campus Ambassador,Sharpener Tech,Actively hiring,Work from home,6 Weeks,Performance Based
Graphic Design,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000-12,000 "
Campus Ambassador,Skillsoft Solutions,Actively hiring,Work from home,3 Months,Performance Based
Social Media Marketing,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 6,000-10,000 "
Content Writing,Sfaira Infotech Private Limited,Actively hiring,Delhi,5 Months," 10,000-15,000 "
Influencer Marketing,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 8,000-10,000 "
Law/Legal,Sonam  Geda,Actively hiring,Indore,3 Months," 2,000-5,000 "
Social Media Marketing,Dropsy,Actively hiring,Noida,3 Months," 5,000 "
Human Resources (HR),Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 12,000-15,000 "
Content Writing,Get Catalyzed,Actively hiring,Jaipur,3 Months," 8,000-10,000 "
Media & Public Relations (PR),Sedani Digital Private Limited,Actively hiring,Work from home,3 Months," 3,000 "
E-commerce Operations,MHLondon,Actively hiring,Noida,4 Months," 15,000 "
Search Engine Optimization (SEO),Sfaira Infotech Private Limited,Actively hiring,Delhi,4 Months," 8,000-12,000 "
Content Writing,AppVersal,Actively hiring,Noida,3 Months," 10,000 "
Digital Marketing,Victoria Exotica Pvt Ltd,Actively hiring,Delhi,6 Months," 10,000-12,000 "
Social Media Marketing,Small Box Office,Actively hiring,Delhi,6 Months," 7,500 "
Influencers Marketing,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 "
Digital Marketing,Seed And Sky Design,Actively hiring,Delhi,6 Months," 12,000 "
Lead Generation,Tring,Actively hiring,"Thane, Navi Mumbai, Mumbai, Panvel",3 Months," 11,000 "
Telecalling,Codeb,Actively hiring,Mumbai,6 Months," 10,000 "
Graphic Design,Stirring Minds,Actively hiring,Delhi,3 Months," 7,000 "
Copywriting,UrbanSpell B2B Marketing Agency,Actively hiring,Pune,6 Months," 6,000 "
Social Media Marketing,UrbanSpell B2B Marketing Agency,Actively hiring,Pune,6 Months," 6,000 "
Social Media Marketing,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 "
Search Engine Optimization (SEO),Ace 360,Actively hiring,Mumbai,6 Months," 3,000-5,000 "
Search Engine Optimization (SEO),Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 "
B2B Sales,Tring,Actively hiring,Mumbai,3 Months," 15,000 "
Social Media Marketing,Ace 360,Actively hiring,"Mumbai, Virar",6 Months," 3,000-6,000 "
Supply Chain Management (SCM),Arcatron Mobility Private Limited,Actively hiring,Pune,3 Months," 20,000 "
Business Development (Sales),Next Labs,Actively hiring,Mumbai,6 Months," 10,000 "
Business Development (Sales),Zedex Info Private Limited,Actively hiring,Mumbai,3 Months," 12,000 "
Apparel Merchandising,The Souled Store,Actively hiring,Mumbai,3 Months," 10,000 "
Teaching,The Skill Guru Foundation,Actively hiring,Work from home,3 Months,Unpaid
Operations,Anannt Training Institute,Actively hiring,Pune,3 Months," 3,000-10,000 "
Operations,Next Labs,Actively hiring,Mumbai,6 Months," 10,000 "
Graphic Design,Antino Labs Private Limited,Actively hiring,Gurgaon,6 Months," 15,000 "
Telemarketing,WellnessZ,Actively hiring,Work from home,3 Months," 5,000 "
Project Management,ADORE,Actively hiring,Work from home,3 Months,Unpaid
Graphic Design,StoreShoppy Online Services Private Limited,Actively hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Noida",3 Months," 5,000-15,000 "
Sales And Marketing,Deeto Infotech,Actively hiring,Bangalore,1 Month," 5,000 "
Digital Marketing,The Affordable Organic Store,Actively hiring,Work from home,3 Months," 1,500 "
Marathi Transcription Coordinator,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Growth Marketing,Grexa AI Private Limited,Actively hiring,Navi Mumbai,3 Months," 10,000-25,000 "
Business Development (Sales),Rousing Designs,Actively hiring,Bangalore,6 Months," 5,000  +  Incentives"
Business Development (Sales),Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 "
Finance Executive,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000 "
Telecalling,Jaguar Properties,Actively hiring,Bangalore,6 Months," 10,000 "
PCB Designer,Panoculon Labs,Actively hiring,Work from home,1 Month," 7,500 "
Human Resources (HR),CyberFrat,Actively hiring,Mumbai,6 Months," 5,000 "
Human Resources (HR),Ace 360,Actively hiring,Mumbai,6 Months," 3,000-5,000 "
International Sales,Inorbvict Healthcare India Private Limited,Actively hiring,"Pune, Mumbai, Pimpri-Chinchwad, Nashik",3 Months," 6,000 "
General Management,ADORE,Actively hiring,Work from home,6 Months," 2,000 "
Recruitment Consultant,Unidus Services (Manpower) Private Limited,Actively hiring,Work from home,3 Months," 1,000 lump sum +  Incentives"
Human Resources (HR),Tradexa Technologies Private Limited,Actively hiring,Pune,6 Months," 12,000-15,000 "
Mutual Fund Operations,RK & Co,Actively hiring,Work from home,4 Months," 4,500 "
Fundraising,Scope For Change,Actively hiring,Work from home,1 Month," 1,000  +  Incentives"
Business Development (Sales),ShikshaGurus,Actively hiring,Work from home,2 Months," 5,000  +  Incentives"
E-Commerce Sales,B.S Solutions,Actively hiring,Work from home,3 Months," 12,000 lump sum"
Social Media Marketing,Leadgenerator,Actively hiring,Bangalore,3 Months," 25,000 "
Business Development (Sales),Social Dot Hub,Actively hiring,Work from home,6 Months," 8,000  +  Incentives"
Social Media Marketing,Brandshark,Actively hiring,Bangalore,3 Months," 10,000 "
Social Media Marketing,CheQ Digital Private Limited,Actively hiring,Bangalore                                                            (Hybrid),6 Months," 25,000 "
Illustrator Designer,Blue Rose Publishers,Actively hiring,Noida,6 Months," 18,000-20,000 "
Motion Graphic Cum Graphic Design,Medonomy,Actively hiring,Noida,6 Months," 10,000-20,000 "
Auditing & Accounting,CHORDIA & ASSOCIATES,Actively hiring,Jodhpur,3 Months," 10,000 "
Recruitment Consultant,Valuemount Services Private Limited,Actively hiring,Hyderabad,6 Months," 10,000 "
Catalogue Management,Goodera,Actively hiring,Bangalore,6 Months," 20,000 "
HR Executive,Techdome Solutions Private Limited,Actively hiring,Hyderabad,3 Months," 8,000-12,000 "
HR Admin,Techdome Solutions Private Limited,Actively hiring,Hyderabad,3 Months," 8,000-12,000 "
Forex Trading Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 12,000-20,000 "
Business Development (Sales),Supreme Forex (Supreme Securities Limited),Actively hiring,Work from home,5 Months," 11,000 "
Human Resources (HR),Beeyond Tech,Actively hiring,Mumbai,3 Months," 8,000-10,000 "
Graphic Design,Coding Junior,Actively hiring,Work from home,3 Months," 2,000 "
Medical Pre-sales For Clinic Software Platform,Emvoke Technologies Private Limited,Actively hiring,Work from home,3 Months," 7,000 "
Embedded Systems,Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000-12,000 "
Teaching And Office Support - Chaukhandi,Scope For Change,Actively hiring,Delhi,6 Months," 5,000-6,000 "
Subject Matter Expert (Physics),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 "
Doubt Solving Expert (Mathematics),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 "
Doubt Solving (Inorganic Chemistry),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 "
